iata,lat,lon,iso_region,municipality
ABE,40.651773,-75.442797,US-PA,Allentown/Bethlehem
ABI,32.4113006592,-99.6819000244,US-TX,Abilene
ABQ,35.039976,-106.608925,US-NM,Albuquerque
ABR,45.449100494384766,-98.42179870605467,US-SD,Aberdeen
ABY,31.532946,-84.196215,US-GA,Albany
ACK,41.25310135,-70.06020355,US-MA,Nantucket
ACT,31.611299514770508,-97.23049926757812,US-TX,Waco
ACV,40.978101,-124.109,US-CA,Arcata/Eureka
ACY,39.456201,-74.577511,US-NJ,Atlantic City
AEX,31.325828,-92.546702,US-LA,Alexandria
AGS,33.3699,-81.9645,US-GA,Augusta
ALB,42.748299,-73.801697,US-NY,Albany
ALO,42.55709838867188,-92.40029907226562,US-IA,Waterloo
ALW,46.09489822,-118.288002,US-WA,Walla Walla
AMA,35.217857,-101.706444,US-TX,Amarillo
APN,45.0780983,-83.56030273,US-MI,Alpena
ART,43.991901,-76.021698,US-NY,Watertown
ASE,39.223202,-106.869003,US-CO,Aspen
ATL,33.6367,-84.428101,US-GA,Atlanta
ATW,44.258515,-88.519,US-WI,Appleton
ATY,44.91400146,-97.15470123,US-SD,Watertown
AUS,30.197535,-97.662015,US-TX,Austin
AVL,35.435488,-82.541853,US-NC,Asheville
AVP,41.337064,-75.724232,US-PA,Wilkes-Barre/Scranton
AZO,42.232105,-85.549637,US-MI,Kalamazoo
BDL,41.938555,-72.688016,US-CT,Hartford
BFF,41.87400055,-103.5960007,US-NE,Scottsbluff
BFL,35.433601,-119.056999,US-CA,Bakersfield
BGM,42.20869827,-75.97979736,US-NY,Binghamton
BGR,44.806364,-68.826668,US-ME,Bangor
BHM,33.562877,-86.750712,US-AL,Birmingham
BIH,37.3731,-118.363998,US-CA,Bishop
BIL,45.808932,-108.541242,US-MT,Billings
BIS,46.772734,-100.746874,US-ND,Bismarck
BJI,47.50939941,-94.93370056,US-MN,Bemidji
BLI,48.79280090332031,-122.53800201416016,US-WA,Bellingham
BLV,38.5452,-89.835197,US-IL,Belleville
BMI,40.4771,-88.915901,US-IL,Bloomington/Normal
BNA,36.1245,-86.6782,US-TN,Nashville
BOI,43.5644,-116.223,US-ID,Boise
BOS,42.36197,-71.0079,US-MA,Boston
BPT,29.9508,-94.020699,US-TX,Beaumont/Port Arthur
BQK,31.258801,-81.466499,US-GA,Brunswick
BRD,46.402861,-94.129727,US-MN,Brainerd
BRO,25.907238,-97.425235,US-TX,Brownsville
BTM,45.95479965209961,-112.49700164794922,US-MT,Butte
BTR,30.533199,-91.149597,US-LA,Baton Rouge
BTV,44.471901,-73.153297,US-VT,Burlington
BUF,42.940498,-78.732201,US-NY,Buffalo
BUR,34.202834,-118.35805,US-CA,Burbank
BWI,39.1754,-76.668297,US-MD,Baltimore
BZN,45.778853,-111.153711,US-MT,Bozeman
CAE,33.938172,-81.123022,US-SC,Columbia
CAK,40.91609954833984,-81.44219970703125,US-OH,Akron
CDC,37.70100021362305,-113.0989990234375,US-UT,Cedar City
CHA,35.035301,-85.203796,US-TN,Chattanooga
CHO,38.13859939575195,-78.4529037475586,US-VA,Charlottesville
CHS,32.896159,-80.038151,US-SC,Charleston
CID,41.884701,-91.7108,US-IA,Cedar Rapids
CIU,46.242038,-84.462082,US-MI,Kincheloe
CKB,39.2966,-80.228104,US-WV,Bridgeport
CLE,41.411701,-81.8498,US-OH,Cleveland
CLL,30.5886,-96.3638,US-TX,College Station
CLT,35.2140007019043,-80.94309997558594,US-NC,Charlotte
CMH,39.998001,-82.891899,US-OH,Columbus
CMI,40.039819,-88.276249,US-IL,Savoy
CMX,47.168399810791016,-88.48909759521484,US-MI,Hancock
COD,44.520199,-109.024002,US-WY,Cody
COS,38.805801,-104.700996,US-CO,Colorado Springs
COU,38.8181,-92.219597,US-MO,Columbia
CPR,42.907381,-106.461609,US-WY,Casper
CRP,27.770399,-97.501198,US-TX,Corpus Christi
CLD,33.1283,-117.279999,US-CA,Carlsbad
CRW,38.3731,-81.593201,US-WV,Charleston
CSG,32.516415,-84.939602,US-GA,Columbus
CVG,39.048801,-84.667801,US-KY,Cincinnati / Covington
CWA,44.777448,-89.670238,US-WI,Mosinee
CYS,41.155701,-104.811997,US-WY,Cheyenne
DAB,29.18255,-81.059464,US-FL,Daytona Beach
DAL,32.844776,-96.847653,US-TX,Dallas
DAY,39.902401,-84.219398,US-OH,Dayton
DCA,38.8521,-77.037697,US-DC,Washington
DDC,37.76340103149414,-99.9655990600586,US-KS,Dodge City
DEC,39.834598541259766,-88.8656997680664,US-IL,Decatur
DEN,39.860027,-104.673792,US-CO,Denver
DFW,32.896801,-97.038002,US-TX,Dallas-Fort Worth
DHN,31.3213005065918,-85.44960021972656,US-AL,Dothan
DIK,46.797533,-102.801905,US-ND,Dickinson
DLH,46.841873,-92.198746,US-MN,Duluth
DRO,37.151501,-107.753998,US-CO,Durango
DSM,41.534027,-93.656719,US-IA,Des Moines
DTW,42.21377,-83.353786,US-MI,Detroit
DVL,48.115454,-98.908796,US-ND,Devils Lake
EAR,40.727001,-99.006798,US-NE,Kearney
EAT,47.398899,-120.207001,US-WA,Wenatchee
EAU,44.86579895019531,-91.48429870605467,US-WI,Eau Claire
ECP,30.357106,-85.795414,US-FL,Panama City Beach
EGE,39.64260101,-106.9179993,US-CO,Eagle
